% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:24
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.698970967153097E-13
20                       -3.5248074094920053E-12
40                       -3.5248641677241557E-12
60                       -3.5248588524561522E-12
80                       -3.524862546605097E-12
100                      -3.524869346994773E-12
120                      -3.524851010977376E-12
140                      -3.524843796378226E-12
160                      -3.5248633271212807E-12
180                      -3.5248651643562714E-12
200                      -3.524851341752371E-12
220                      -3.5248496323692467E-12
240                      -3.524863548117021E-12
