% Model:              inside_out_countercurrent_240mins_parasweep_Qblood 1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 28 2026, 09:20
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5828631065976714E-19
20                       3.501546232399864E-12
40                       3.5015588603309148E-12
60                       3.5015557847255125E-12
80                       3.501609906278376E-12
100                      3.5016514928225742E-12
120                      3.501601179599676E-12
140                      3.501611252623029E-12
160                      3.501613347822137E-12
180                      3.5016098537334385E-12
200                      3.5016132560112834E-12
220                      3.501608438723235E-12
240                      3.501609500210521E-12
