% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:33
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.242680167873248E-20
20                       -3.4671338353204176E-12
40                       -3.4671735144368907E-12
60                       -3.4671729988425976E-12
80                       -3.467176391593351E-12
100                      -3.4671806685306367E-12
120                      -3.467163669946102E-12
140                      -3.4671583251347264E-12
160                      -3.4671764518533823E-12
180                      -3.467176652823345E-12
200                      -3.467164096434469E-12
220                      -3.467163669446594E-12
240                      -3.4671758640324476E-12
