% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:30
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598098588734488E-18
20                       -1.928176292733576E-11
40                       -1.9281815498982676E-11
60                       -1.928168409899432E-11
80                       -1.928174549390796E-11
100                      -1.928183385842345E-11
120                      -1.9281865619467652E-11
140                      -1.9281830140004642E-11
160                      -1.9281768910650177E-11
180                      -1.92817634562085E-11
200                      -1.928179951195272E-11
220                      -1.9281810739726075E-11
240                      -1.928178120973877E-11
