% Model:              inside_out_countercurrent_240mins_parasweep_Qblood 1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 28 2026, 09:21
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5826533805716055E-19
20                       3.519734495263506E-12
40                       3.5197380298253066E-12
60                       3.519777972938033E-12
80                       3.519751302961409E-12
100                      3.5197744316996353E-12
120                      3.5197525787232927E-12
140                      3.5197150177473436E-12
160                      3.5197602642278196E-12
180                      3.519758536748031E-12
200                      3.5197620237100917E-12
220                      3.5197629024338356E-12
240                      3.5197624748254247E-12
