% Model:              inside_out_countercurrent_240mins_parasweep_Qdial 2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 28 2026, 10:12
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.583092673410569E-19
20                       3.6195900540688727E-12
40                       3.619602761274415E-12
60                       3.61962607790679E-12
80                       3.619586490572103E-12
100                      3.619623620581622E-12
120                      3.61960487520329E-12
140                      3.6195984332452018E-12
160                      3.6195958181238762E-12
180                      3.6195950123380673E-12
200                      3.619602184541118E-12
220                      3.619599111667672E-12
240                      3.6195982976709703E-12
