% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:33
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.2426789079811744E-20
20                       -3.6142752044223877E-12
40                       -3.614248793838501E-12
60                       -3.614259492265847E-12
80                       -3.614253634046853E-12
100                      -3.614272505858966E-12
120                      -3.614266370753731E-12
140                      -3.6142494355558755E-12
160                      -3.6142499194646215E-12
180                      -3.614267637296958E-12
200                      -3.6142800366728487E-12
220                      -3.6142566124079354E-12
240                      -3.6142518121097756E-12
