% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:23
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -4.673861869057197E-12
20                       -2.1202013323782894E-11
40                       -2.1201908369599537E-11
60                       -2.1202031416452747E-11
80                       -2.1202073458055752E-11
100                      -2.120201985426442E-11
120                      -2.1201898477504745E-11
140                      -2.1201796937081475E-11
160                      -2.120181434567003E-11
180                      -2.1201883583368985E-11
200                      -2.1201858761705627E-11
220                      -2.1201780243822092E-11
240                      -2.1201792495568967E-11
