% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 16:10
% Table:              Table 61 - Line Integration 5
% Time (min)             Normal total flux (mol/s)
0                        -4.657417804346531E-12
20                       -1.9400854368375054E-11
40                       -1.9400864597963333E-11
60                       -1.940099217657352E-11
80                       -1.9401004558079114E-11
100                      -1.940091580574891E-11
120                      -1.9400801906335838E-11
140                      -1.9400817051229685E-11
160                      -1.9400860631626005E-11
180                      -1.9400850441618127E-11
200                      -1.940079281164384E-11
220                      -1.9400761179080928E-11
240                      -1.9400800478921653E-11
