% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:09
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.5977307041104798E-18
20                       -1.7013071888658424E-11
40                       -1.701290307761173E-11
60                       -1.7013048726134132E-11
80                       -1.7013080780296628E-11
100                      -1.7013017321050598E-11
120                      -1.7012896880592966E-11
140                      -1.701280649161649E-11
160                      -1.701283684146917E-11
180                      -1.7012907383496318E-11
200                      -1.7012874217848195E-11
220                      -1.701279442873492E-11
240                      -1.7012814715758273E-11
