% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 2 2026, 09:35
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        6.364012740695011E-20
20                       -5.286917762440019E-12
40                       -5.286900525303464E-12
60                       -5.286919706023868E-12
80                       -5.286924340741807E-12
100                      -5.286919135286436E-12
120                      -5.2869408548866666E-12
140                      -5.286931292530573E-12
160                      -5.286917573971233E-12
180                      -5.286911602625671E-12
200                      -5.286928856584945E-12
220                      -5.286947356784547E-12
240                      -5.286925541493885E-12
