% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepQdial.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:41
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.2426801781277315E-20
20                       -3.355037632471769E-12
40                       -3.35465402337944E-12
60                       -3.3545980783148835E-12
80                       -3.3546133863817737E-12
100                      -3.354610310520218E-12
120                      -3.35460200895351E-12
140                      -3.354602356712363E-12
160                      -3.3546027632973305E-12
180                      -3.3546041420284377E-12
200                      -3.3546069090957336E-12
220                      -3.354607092066728E-12
240                      -3.3546052414517835E-12
