% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:13
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -4.068312206391293E-12
20                       -1.9420066614324887E-11
40                       -1.942001377168097E-11
60                       -1.9420215985826213E-11
80                       -1.9420227738782978E-11
100                      -1.9420061994822266E-11
120                      -1.9419953048634512E-11
140                      -1.9419975055801156E-11
160                      -1.942003487357003E-11
180                      -1.9420050429941016E-11
200                      -1.9419982009813705E-11
220                      -1.94199424467983E-11
240                      -1.9419977879167746E-11
