% Model:              outside_in_originalconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:12
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.1324257625765753E-13
20                       -3.5241662933860644E-12
40                       -3.524354485077943E-12
60                       -3.5242903134256166E-12
80                       -3.5243282056148385E-12
100                      -3.5243463588689675E-12
120                      -3.5243274364169576E-12
140                      -3.5243166329505484E-12
160                      -3.5243252896172983E-12
180                      -3.5243394132335286E-12
200                      -3.5243188282832267E-12
220                      -3.5243164536025162E-12
240                      -3.5243310616131925E-12
