% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:05
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -3.231268962878024E-18
20                       -1.9374816533342295E-11
40                       -1.93747874219738E-11
60                       -1.9375021665756203E-11
80                       -1.937500572604263E-11
100                      -1.9374815393571528E-11
120                      -1.9374710376423073E-11
140                      -1.9374747971412406E-11
160                      -1.9374813431722832E-11
180                      -1.9374824285681507E-11
200                      -1.9374747111678185E-11
220                      -1.9374709032839084E-11
240                      -1.9374752039752888E-11
