% Model:              outside_in_originalconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:11
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.1326400502096323E-13
20                       -3.5249269193300386E-12
40                       -3.5249715770027018E-12
60                       -3.5249605857191087E-12
80                       -3.5249917371736677E-12
100                      -3.5249635575283557E-12
120                      -3.524954994532703E-12
140                      -3.524963746958146E-12
160                      -3.524967849753525E-12
180                      -3.5249614755576235E-12
200                      -3.524951428552346E-12
220                      -3.5249595211384144E-12
240                      -3.5249730276478744E-12
