% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:13
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -4.0682273463071115E-12
20                       -1.9418716446542333E-11
40                       -1.9418663363644233E-11
60                       -1.9418865167136715E-11
80                       -1.9418877300401574E-11
100                      -1.9418711750968865E-11
120                      -1.9418602761026362E-11
140                      -1.9418624652406063E-11
160                      -1.9418684493798778E-11
180                      -1.9418699999626265E-11
200                      -1.9418631446778955E-11
220                      -1.9418592000695062E-11
240                      -1.9418627630417385E-11
