% Model:              inside_out_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 30 2026, 22:07
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.724519766593606E-13
20                       3.4863757728507193E-12
40                       3.486396078244974E-12
60                       3.4865140317150617E-12
80                       3.4863779836171047E-12
100                      3.4864125123378125E-12
120                      3.4864844557468874E-12
140                      3.4864096848332954E-12
160                      3.486440904349751E-12
180                      3.4864068516756055E-12
200                      3.4864264198079683E-12
220                      3.486441461347213E-12
240                      3.4864261823753955E-12
