% Model:              inside_out_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 30 2026, 22:04
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.8360137206203347E-19
20                       3.4801949579524255E-12
40                       3.479907553086717E-12
60                       3.4800430010245964E-12
80                       3.479970306057703E-12
100                      3.4800208214967944E-12
120                      3.480045688543454E-12
140                      3.479993769393315E-12
160                      3.4800263720651874E-12
180                      3.480018251412601E-12
200                      3.4799960661706514E-12
220                      3.4800235063096173E-12
240                      3.4799869754519757E-12
