% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:13
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -4.068468476700939E-12
20                       -1.9420924062631476E-11
40                       -1.9420872036582116E-11
60                       -1.9421074883086043E-11
80                       -1.9421085734596373E-11
100                      -1.942091957864978E-11
120                      -1.9420810878311895E-11
140                      -1.9420833250943064E-11
160                      -1.9420892952414113E-11
180                      -1.942090835964206E-11
200                      -1.9420840239896533E-11
220                      -1.9420800688706525E-11
240                      -1.9420835789135413E-11
