% Model:              inside_out_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 30 2026, 22:04
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.8360136728804555E-19
20                       3.4799636288093312E-12
40                       3.4796847496992672E-12
60                       3.479833167098436E-12
80                       3.4797416478909908E-12
100                      3.4798040398812317E-12
120                      3.4798442693782777E-12
140                      3.479820595170432E-12
160                      3.4797709210607498E-12
180                      3.4797801856988906E-12
200                      3.479837837405853E-12
220                      3.4798302787716E-12
240                      3.4797821858111444E-12
