% Model:              inside_out_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 30 2026, 22:03
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.8360136450472616E-19
20                       3.4795414999969813E-12
40                       3.4796037773791043E-12
60                       3.4797327302633516E-12
80                       3.4795860068678955E-12
100                      3.479627744402888E-12
120                      3.4797017873793884E-12
140                      3.4796206957362257E-12
160                      3.479656171919358E-12
180                      3.4796192911835484E-12
200                      3.4796406653576823E-12
220                      3.4796566284786925E-12
240                      3.4796395891877143E-12
