% Model:              outside_in_originalconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:00
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.0412790557925155E-19
20                       -3.5220455693317022E-12
40                       -3.5220090404304724E-12
60                       -3.5219563555652857E-12
80                       -3.521988072506217E-12
100                      -3.52200657573175E-12
120                      -3.5219894984147893E-12
140                      -3.5219784629557206E-12
160                      -3.521986145641267E-12
180                      -3.521999933114648E-12
200                      -3.5219809829133543E-12
220                      -3.521977876053135E-12
240                      -3.5219915578285493E-12
