% Model:              outside_in_originalconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:01
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.041278981659088E-19
20                       -3.5220681533901407E-12
40                       -3.5220292813231335E-12
60                       -3.5219780004047934E-12
80                       -3.522005995657143E-12
100                      -3.5220238066222175E-12
120                      -3.5220087377588703E-12
140                      -3.521999349668001E-12
160                      -3.5220062602230453E-12
180                      -3.522018824960103E-12
200                      -3.522001186011483E-12
220                      -3.521997116359725E-12
240                      -3.5220106654161427E-12
