% Model:              inside_out_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 30 2026, 22:07
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.724261631080326E-13
20                       3.4862404507204955E-12
40                       3.4859828757130928E-12
60                       3.4861024393145718E-12
80                       3.486019007498058E-12
100                      3.4860758280593465E-12
120                      3.4861167776870993E-12
140                      3.486095828165832E-12
160                      3.4860472107262126E-12
180                      3.4860540237659988E-12
200                      3.4861107785657745E-12
220                      3.486103413261615E-12
240                      3.486058346616309E-12
