% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 1 2026, 12:05
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -3.2312691039204993E-18
20                       -1.9375933107562967E-11
40                       -1.9375903166685374E-11
60                       -1.9376136805553236E-11
80                       -1.9376121874764247E-11
100                      -1.9375931932954927E-11
120                      -1.9375826616470975E-11
140                      -1.9375863832421088E-11
160                      -1.9375929448013144E-11
180                      -1.9375940454419768E-11
200                      -1.9375862943741432E-11
220                      -1.9375824882192603E-11
240                      -1.937586825691408E-11
