% Model:              inside_out_countercurrent_240mins_splitcelllayer.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 30 2026, 22:07
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.724169020299552E-13
20                       3.48596149016958E-12
40                       3.4857142110583576E-12
60                       3.485819268584821E-12
80                       3.4857539626134966E-12
100                      3.4857995586212206E-12
120                      3.4858351008533657E-12
140                      3.485784316260668E-12
160                      3.4858189160441817E-12
180                      3.4858058472429813E-12
200                      3.4857822329195655E-12
220                      3.4858104879446535E-12
240                      3.485812314056932E-12
