% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:35
% Table:              Table 12 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        1.6131463395798973E-23
0.5                      3.4565104968365597E-12
1                        3.168626097774574E-12
1.5                      3.0661351986377827E-12
2                        2.9906621678058294E-12
2.5                      2.925055913757606E-12
3                        2.867989122185506E-12
3.5                      2.818067329087688E-12
4                        2.773980031716828E-12
4.5                      2.734822909880205E-12
5                        2.6996330028771765E-12
5.5                      2.667668826808683E-12
6                        2.6384098437632E-12
6.5                      2.6114763740253502E-12
7                        2.5865683063234256E-12
7.5                      2.563434912026491E-12
8                        2.5418621559193096E-12
8.5                      2.5216300253769234E-12
9                        2.5026152599972457E-12
9.5                      2.4846918107978423E-12
10                       2.467743627049497E-12
