% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:47
% Table:              Table 12 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        1.613455256492827E-23
0.5                      3.4588144047630623E-12
1                        3.1708809749798036E-12
1.5                      3.0684086433124486E-12
2                        2.9929502855847883E-12
2.5                      2.9273514793594948E-12
3                        2.870287410622514E-12
3.5                      2.8203654627623728E-12
4                        2.776276283971136E-12
4.5                      2.7371161403187877E-12
5                        2.7019225937481695E-12
5.5                      2.669954460899175E-12
6                        2.640691352717249E-12
6.5                      2.613753667389318E-12
7                        2.5888413381529768E-12
7.5                      2.565703679342142E-12
8                        2.544126681853016E-12
8.5                      2.5238903593289178E-12
9                        2.504871461052719E-12
9.5                      2.4869439442347076E-12
10                       2.4699917646243996E-12
