% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:51
% Table:              Table 13 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -9.442999298204054E-26
0.5                      3.450733747309616E-12
1                        3.3912428565587914E-12
1.5                      3.25114538955715E-12
2                        3.1338232454134886E-12
2.5                      3.0394138506744556E-12
3                        2.9621015855370057E-12
3.5                      2.8973457337411394E-12
4                        2.841971474247725E-12
4.5                      2.7941179982780207E-12
5                        2.7519564017007753E-12
5.5                      2.7142042792415717E-12
6                        2.680046363441328E-12
6.5                      2.6489290752119557E-12
7                        2.620425979548577E-12
7.5                      2.594184768953725E-12
8                        2.5699067685637186E-12
8.5                      2.5472919681953765E-12
9                        2.5261775236323803E-12
9.5                      2.5063981118314814E-12
10                       2.487803725439825E-12
