% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:35
% Table:              Table 11 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.093166328323934E-10
0.5                      3.493759421336903E-12
1                        3.2268785066167813E-12
1.5                      3.1128444550846453E-12
2                        3.0262153547805443E-12
2.5                      2.95265365684077E-12
3                        2.8898824550062958E-12
3.5                      2.8357469331735333E-12
4                        2.7884408727371807E-12
4.5                      2.746794316664091E-12
5                        2.7096025924771255E-12
5.5                      2.6759730596636677E-12
6                        2.645302219160897E-12
6.5                      2.6171609665376187E-12
7                        2.5912134318750036E-12
7.5                      2.567179862370813E-12
8                        2.544822373467347E-12
8.5                      2.523898205804753E-12
9                        2.5042727692894793E-12
9.5                      2.4858088538567438E-12
10                       2.4683806596124082E-12
