% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:35
% Table:              Table 13 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -9.062449829027256E-26
0.5                      3.4501302387232524E-12
1                        3.390662497894465E-12
1.5                      3.2505707838938213E-12
2                        3.13325135043786E-12
2.5                      3.038844803803391E-12
3                        2.9615356222577745E-12
3.5                      2.8967827162561133E-12
4                        2.8414112347896567E-12
4.5                      2.7935604527967473E-12
5                        2.7514013139947244E-12
5.5                      2.7136515468812968E-12
6                        2.679495877728684E-12
6.5                      2.648380601066183E-12
7                        2.6198795619021295E-12
7.5                      2.5936401846991434E-12
8                        2.569363965038237E-12
8.5                      2.5467508970478376E-12
9                        2.5256380521101545E-12
9.5                      2.5058602082122214E-12
10                       2.4872672933950903E-12
