% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:42
% Table:              Table 12 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        1.6132750549602848E-23
0.5                      3.457470458472594E-12
1                        3.1695656299434003E-12
1.5                      3.067082467252218E-12
2                        2.991615550213716E-12
2.5                      2.926012399425042E-12
3                        2.8689467423675806E-12
3.5                      2.8190248847854612E-12
4                        2.7749368034894417E-12
4.5                      2.735778422562936E-12
5                        2.7005869990734113E-12
5.5                      2.66862117434637E-12
6                        2.6393604724940402E-12
6.5                      2.6124252462603186E-12
7                        2.5875154029190623E-12
7.5                      2.5643802317413275E-12
8                        2.5428057083916755E-12
8.5                      2.522571831190236E-12
9                        2.5035553437703437E-12
9.5                      2.4856301997298527E-12
10                       2.468680351039022E-12
