% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 14:00
% Table:              Table 12 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        1.6187775452523808E-23
0.5                      3.4648772039389582E-12
1                        3.177068736391107E-12
1.5                      3.0744331845797742E-12
2                        2.99901849695986E-12
2.5                      2.9335084623086353E-12
3                        2.8764916785133064E-12
3.5                      2.8266091479934526E-12
4                        2.7825788219608376E-12
4.5                      2.743522824908256E-12
5                        2.708312698205601E-12
5.5                      2.6761387369131154E-12
6                        2.6468835456990217E-12
6.5                      2.6200846792575775E-12
7                        2.5949828019862326E-12
7.5                      2.5716012098384446E-12
8                        2.549910377697428E-12
8.5                      2.5297269910862652E-12
9                        2.510781674759252E-12
9.5                      2.4929596662424754E-12
10                       2.4760825150596796E-12
