% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:41
% Table:              Table 13 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -9.147016377732877E-26
0.5                      3.4502643517424353E-12
1                        3.3907914664865246E-12
1.5                      3.2506984740412264E-12
2                        3.1333784382102234E-12
2.5                      3.038971258663621E-12
3                        2.961661391875377E-12
3.5                      2.8969078312527794E-12
4                        2.8415357324469907E-12
4.5                      2.7936843517925803E-12
5                        2.751524666818287E-12
5.5                      2.713774376294685E-12
6                        2.6796182078870407E-12
6.5                      2.6485024842096852E-12
7                        2.6200009880457788E-12
7.5                      2.593761203422378E-12
8                        2.569484588043893E-12
8.5                      2.5468711350806178E-12
9                        2.525757934670643E-12
9.5                      2.5059797423498266E-12
10                       2.487386500516137E-12
