% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:51
% Table:              Table 12 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        1.6137255587916444E-23
0.5                      3.4608303241987194E-12
1                        3.1728539925343465E-12
1.5                      3.0703979074027438E-12
2                        2.99495238864134E-12
2.5                      2.9293600992611068E-12
3                        2.87229841300485E-12
3.5                      2.8223763297276836E-12
4                        2.77828550469363E-12
4.5                      2.7391227169525065E-12
5                        2.7039259857602415E-12
5.5                      2.671954390728309E-12
6                        2.6426876730519963E-12
6.5                      2.6157462990827475E-12
7                        2.5908302410037952E-12
7.5                      2.5676888507432974E-12
8                        2.5461081420449613E-12
8.5                      2.5258681515368706E-12
9                        2.5068456369762096E-12
9.5                      2.488914560991909E-12
10                       2.4719588850023896E-12
