% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 13:57
% Table:              Table 12 - Line Integration 3
% Time (min)             Normal total flux (mol/s)
0                        1.615457745410584E-23
0.5                      3.4571052257704635E-12
1                        3.1693325336984044E-12
1.5                      3.06663117898571E-12
2                        2.9911725709668438E-12
2.5                      2.9256410877219133E-12
3                        2.868617588383609E-12
3.5                      2.8187375616627236E-12
4                        2.7747153287666613E-12
4.5                      2.735670810951238E-12
5                        2.7004737873508735E-12
5.5                      2.668313866747306E-12
6                        2.639073624518764E-12
6.5                      2.612289830756759E-12
7                        2.587202812502303E-12
7.5                      2.5638361802071443E-12
8                        2.5421604740216897E-12
8.5                      2.5219919499312775E-12
9                        2.5030609657164177E-12
9.5                      2.4852528392580316E-12
10                       2.4683895140484686E-12
