% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 13:00
% Table:              Table 13 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -9.73898221867527E-26
0.5                      3.4512031428768067E-12
1                        3.3916942466310663E-12
1.5                      3.251592305073088E-12
2                        3.1342680526167804E-12
2.5                      3.039856442685308E-12
3                        2.96254177919866E-12
3.5                      2.8977836362295228E-12
4                        2.842407216048463E-12
4.5                      2.79455164476348E-12
5                        2.7523881365832834E-12
5.5                      2.714634182188471E-12
6                        2.680474518995637E-12
6.5                      2.6493556662142456E-12
7                        2.6208509710513954E-12
7.5                      2.5946083344850953E-12
8                        2.5703289490835717E-12
8.5                      2.5477128013101574E-12
9                        2.5265971125941424E-12
9.5                      2.506816481313159E-12
10                       2.4882209503635364E-12
