% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 14:00
% Table:              Table 11 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.094169012274599E-10
0.5                      3.4990235732723014E-12
1                        3.232153672881026E-12
1.5                      3.117958815869438E-12
2                        3.031364201166615E-12
2.5                      2.9578976442568204E-12
3                        2.8951769064830713E-12
3.5                      2.8410943020308173E-12
4                        2.7938698908851515E-12
4.5                      2.7523482816617082E-12
5                        2.715106888185593E-12
5.5                      2.6812297159405638E-12
6                        2.6506022288883718E-12
6.5                      2.6226143282472735E-12
7                        2.596425919867144E-12
7.5                      2.5721221358020496E-12
8                        2.549663353146931E-12
8.5                      2.528815351765802E-12
9                        2.5092722361637256E-12
9.5                      2.490927955412949E-12
10                       2.4735788562207615E-12
