% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 14:00
% Table:              Table 13 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -4.221035115938661E-26
0.5                      3.453418032259833E-12
1                        3.3938092815144226E-12
1.5                      3.253441044244003E-12
2                        3.1362350909688534E-12
2.5                      3.041773454948282E-12
3                        2.964267408913031E-12
3.5                      2.8996487839074655E-12
4                        2.844797208247929E-12
4.5                      2.797411071386088E-12
5                        2.7544996676282E-12
5.5                      2.7164596820588885E-12
6                        2.683052240192982E-12
6.5                      2.651693517688364E-12
7                        2.622480166043453E-12
7.5                      2.595967050662192E-12
8                        2.571921016412686E-12
8.5                      2.5495472522944365E-12
9                        2.528480083271278E-12
9.5                      2.508991053254493E-12
10                       2.4904536234333294E-12
