% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 13:57
% Table:              Table 11 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.094520023793368E-10
0.5                      3.4948952183787246E-12
1                        3.228037852299236E-12
1.5                      3.113810696662653E-12
2                        3.027195968856553E-12
2.5                      2.953720194011073E-12
3                        2.8909973881136656E-12
3.5                      2.836917391014519E-12
4                        2.7896985516533475E-12
4.5                      2.748184105805581E-12
5                        2.710950253486042E-12
5.5                      2.6770808086611063E-12
6                        2.6464620271055692E-12
6.5                      2.6184828127202554E-12
7                        2.5923024701703816E-12
7.5                      2.568006815625259E-12
8                        2.5455565634731384E-12
8.5                      2.5247169284489162E-12
9                        2.5051816177702126E-12
9.5                      2.4868447653649775E-12
10                       2.469503227141229E-12
