% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:51
% Table:              Table 11 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.093098819277124E-10
0.5                      3.495259903569399E-12
1                        3.22835565187225E-12
1.5                      3.114337182719446E-12
2                        3.027719800665227E-12
2.5                      2.9541646185995844E-12
3                        2.891396474887294E-12
3.5                      2.837261859104864E-12
4                        2.789955380599664E-12
4.5                      2.748307503799607E-12
5                        2.711113947738324E-12
5.5                      2.677482293191034E-12
6                        2.646809157969321E-12
6.5                      2.6186655037449754E-12
7                        2.5927154898268462E-12
7.5                      2.5686794067163657E-12
8                        2.5463193868838507E-12
8.5                      2.525392696061989E-12
9                        2.505764754514862E-12
9.5                      2.4872983566966777E-12
10                       2.4698677116440007E-12
