% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 13:00
% Table:              Table 11 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.093046312240712E-10
0.5                      3.4964269453058116E-12
1                        3.2295045426265315E-12
1.5                      3.1154981931020944E-12
2                        3.0288899252422294E-12
2.5                      2.9553398110786946E-12
3                        2.8925740459058812E-12
3.5                      2.838440134829257E-12
4                        2.7911333311594114E-12
4.5                      2.7494844271272495E-12
5                        2.7122894462748337E-12
5.5                      2.6786561414901282E-12
6                        2.647981221487012E-12
6.5                      2.6198356993507244E-12
7                        2.5938837571227537E-12
7.5                      2.56984571898516E-12
8                        2.547483730652274E-12
8.5                      2.5265550773732006E-12
9                        2.506925187467976E-12
9.5                      2.4884568589055427E-12
10                       2.471024307668605E-12
