% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 13:57
% Table:              Table 13 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -4.7530084370889764E-26
0.5                      3.4515424049366073E-12
1                        3.392031665979E-12
1.5                      3.2516701256496765E-12
2                        3.1344680044801646E-12
2.5                      3.040009150496897E-12
3                        2.9625079421824094E-12
3.5                      2.8978972568937285E-12
4                        2.84305651903552E-12
4.5                      2.7956779911532118E-12
5                        2.752770511800582E-12
5.5                      2.714735254004796E-12
6                        2.6813376546401454E-12
6.5                      2.649983445553165E-12
7                        2.6207733979867077E-12
7.5                      2.5942650798829336E-12
8                        2.570226603072944E-12
8.5                      2.5478584971955515E-12
9                        2.5267943054310296E-12
9.5                      2.507308238869564E-12
10                       2.4887759676300505E-12
