% Model:              MSA_reference.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 9 2026, 12:47
% Table:              Table 11 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        6.09313032349898E-10
0.5                      3.494559678527587E-12
1                        3.227666317419724E-12
1.5                      3.113640576489896E-12
2                        3.02701772591907E-12
2.5                      2.9534595031121692E-12
3                        2.890689932276193E-12
3.5                      2.8365548936702686E-12
4                        2.7892486102638647E-12
4.5                      2.747601349803062E-12
5                        2.7104086486164572E-12
5.5                      2.676777984211625E-12
6                        2.646105919858752E-12
6.5                      2.617963386381569E-12
7                        2.5920145294493445E-12
7.5                      2.567979619355136E-12
8                        2.545620780622846E-12
8.5                      2.5246952672753137E-12
9                        2.5050684947430474E-12
9.5                      2.4866032553714053E-12
10                       2.4691737540292907E-12
